filename,has_yaml,completeness,status,has_id,has_quality,has_fact_check,has_last_verified,has_sources_count,has_subscribers,has_metrics,has_growth_stage,has_cross_reference,has_monetization
NL_CASE_001_high_revenue.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_002_monthly_100k.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_003_02_dan_go.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_003_03_tech_emails.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_003_15_matt_goodwin.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_003_16_lookout_media.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_003_niche_success.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_004_knowledge_unique.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_005_lenny_rachitsky.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_006_letters_from_american.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_007_pragmatic_engineer.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_001_indie_creator_1k.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_002_side_hustle_3mo.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_003_micro_niche.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_004_student_newsletter.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_005_local_newsletter.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_LOW_006_hobby_newsletter.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_LOW_007_weekly_newsletter.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_LOW_008_ad_revenue_newsletter.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_LOW_009_curation_newsletter.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_MID_001_extra_points.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_MID_002_chief_in_the_north.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_MID_002_naptown_scoop.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_MID_003_parenting_newsletter.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_MID_003_stacked_marketer.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_MID_004_alex_brogan.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_P1_001_bytebytego.md,True,10,COMPLETE,True,True,True,True,True,True,True,True,True,True
NL_CASE_P1_002_morning_brew.md,True,10,COMPLETE,True,True,True,True,True,True,True,True,True,True
NL_CASE_P1_003_the_hustle.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_004_lennys_newsletter.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_005_milk_road.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_006_bens_bites.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_007_tldr.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_008_rundown_ai.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_009_not_boring.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_010_the_generalist.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_011_growth_design.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_012_indie_hackers.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_013_dense_discovery.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_014_trends_vc.md,True,5,PARTIAL (5/10),True,False,False,False,False,True,True,True,False,True
NL_CASE_P1_015_bootstrapped_founder.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P1_016_libertys_highlights.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P1_017_compounding_quality.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P1_018_product_hunt_daily.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P1_019_sparkloop.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P1_020_newsletter_operator.md,True,2,PARTIAL (2/10),True,False,False,False,False,False,False,False,False,True
NL_CASE_P2_001_milk_road.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
NL_CASE_P2_002_the_hustle.md,True,5,PARTIAL (5/10),True,False,False,False,False,False,True,True,True,True
