filename,had_quality_section,sources_added,improvement_estimate
adam_robinson/sns_analysis.md,no,7,90
alex_finn/sns_analysis.md,yes,0,0
alex_hormozi/sns_analysis.md,no,6,92
alex_lieberman/sns_analysis.md,no,5,88
alex_turnbull/sns_analysis.md,no,6,95
alex_west/sns_analysis.md,yes,0,0
ali_abdaal/sns_analysis.md,no,5,87
amy_porterfield/sns_analysis.md,no,6,85
andrew_wilkinson/sns_analysis.md,no,7,93
andrey_azimov/sns_analysis.md,no,5,89
ankur_warikoo/sns_analysis.md,no,6,86
anton_osika/sns_analysis.md,yes,0,0
arvid_kahl/sns_analysis.md,yes,0,0
bhanu_teja/sns_analysis.md,yes,0,0
blake_anderson/sns_analysis.md,yes,0,0
brock/sns_analysis.md,yes,0,0
